,Ticker,Returns_multiple,RS_Rating
477,VMC,1.16,86.97813121272365
478,WAB,1.06,74.45328031809146
479,WBA,0.59,4.870775347912525
480,WMT,1.07,75.7455268389662
481,WBD,0.68,11.232604373757455
482,WM,0.95,54.17495029821073
483,WAT,0.73,17.19681908548708
484,WEC,0.88,38.767395626242546
485,WFC,0.8,25.646123260437374
486,WELL,1.29,94.33399602385686
487,WST,1.29,94.33399602385686
488,WDC,1.09,78.03180914512923
489,WRK,0.98,61.23260437375746
490,WY,0.89,39.662027833001986
491,WHR,0.9,41.15308151093439
492,WMB,1.04,70.77534791252485
493,WTW,0.91,44.333996023856855
494,GWW,1.18,88.96620278330019
495,WYNN,1.43,97.61431411530815
496,XEL,0.9,41.15308151093439
497,XYL,0.82,28.628230616302186
498,YUM,1.0,64.41351888667992
499,ZBRA,0.67,10.238568588469185
500,ZBH,0.85,34.39363817097416
501,ZION,0.56,3.5785288270377733
502,ZTS,1.0,64.41351888667992
