Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,92.69999694824219,96.30999755859375,92.30000305175781,96.0199966430664,93.60328674316406,714900
2022-10-26,96.43000030517578,97.2699966430664,95.06999969482422,96.2699966430664,93.84699249267578,911200
2022-10-27,96.94000244140625,97.52999877929688,95.5999984741211,95.83999633789062,93.42782592773438,687200
2022-10-28,94.48999786376953,96.37999725341797,93.66000366210938,96.0999984741211,94.37054443359375,858700
2022-10-31,95.52999877929688,96.83000183105469,95.23999786376953,96.12000274658203,94.39019012451172,1152100
2022-11-01,97.83000183105469,98.77999877929688,96.4800033569336,98.36000061035156,96.58987426757812,1019200
2022-11-02,98.22000122070312,99.62999725341797,94.0,94.0,92.30833435058594,1261300
2022-11-03,93.02999877929688,95.29000091552734,92.62999725341797,94.48999786376953,92.78951263427734,1312500
2022-11-04,94.19999694824219,97.27999877929688,90.4800033569336,91.94000244140625,90.28541564941406,2657400
2022-11-07,92.75,93.27999877929688,90.06999969482422,92.4000015258789,90.73713684082031,1636700
2022-11-08,92.9000015258789,95.12999725341797,91.63999938964844,93.81999969482422,92.13157653808594,1080700
2022-11-09,92.62000274658203,93.44000244140625,91.37000274658203,91.75,90.09883880615234,1465100
2022-11-10,96.69000244140625,104.52999877929688,96.58999633789062,104.29000091552734,102.41315460205078,2268500
2022-11-11,105.37000274658203,112.27999877929688,105.37000274658203,110.55999755859375,108.5703125,2034900
2022-11-14,107.86000061035156,108.62000274658203,104.94999694824219,105.0,103.11038208007812,1351600
2022-11-15,106.81999969482422,107.69000244140625,102.61000061035156,102.80000305175781,100.9499740600586,1457100
2022-11-16,101.72000122070312,102.0,99.62000274658203,100.55000305175781,98.74046325683594,882600
2022-11-17,98.06999969482422,99.37999725341797,96.5199966430664,99.31999969482422,97.5325927734375,808900
2022-11-18,101.06999969482422,101.52999877929688,98.66999816894531,101.2300033569336,99.4082260131836,928600
2022-11-21,99.81999969482422,100.83000183105469,98.69999694824219,99.56999969482422,97.7780990600586,747300
2022-11-22,101.31999969482422,105.48999786376953,100.7300033569336,104.08000183105469,102.20693969726562,1244300
2022-11-23,103.43000030517578,105.11000061035156,103.0,104.22000122070312,102.34441375732422,597700
